Codice,Descrizione,Provincia,DataFineVal
406093003,ARZENE,PN,31/12/2014 00:00:00
406030524,ARZENE,UD,29/02/1968 00:00:00
407008501,ARZENO D'ONEGLIA,IM,31/12/1983 00:00:00
403013508,ASNAGO,CO,31/12/1983 00:00:00
420092519,ASSOLO,CA,15/07/1974 00:00:00
420092520,ASUNI,CA,15/07/1974 00:00:00
415063515,ATELLA DI NAPOLI,NA,29/03/1946 00:00:00
415061503,ATELLA DI NAPOLI,CE,31/12/1983 00:00:00
411141003,AUDITORE,PU,31/12/2018 00:00:00
401003617,AURANO,NO,29/04/1992 00:00:00
406032503,AUREMO DI SOPRA,TS,15/09/1947 00:00:00
406032504,AURISINA,TS,31/12/1983 00:00:00
401003512,AUZATE,NO,31/12/1983 00:00:00
406031504,AUZZA,GO,15/09/1947 00:00:00
403017505,AVENONE,BS,31/12/1983 00:00:00
405023501,AVESA,VR,31/12/1983 00:00:00
406030525,AVIANO,UD,29/02/1968 00:00:00
401001502,AVUGLIONE E VERNONE,TO,31/12/1983 00:00:00
406030526,AZZANO DECIMO,UD,29/02/1968 00:00:00
401003618,BACENO,NO,29/04/1992 00:00:00
403013509,BAGAGGERA,CO,31/12/1983 00:00:00
403015505,BAGGIO,MI,31/12/1983 00:00:00
412056501,BAGNAIA,VT,31/12/1983 00:00:00
415062501,BAGNARA DI BENEVENTO,BN,31/12/1983 00:00:00
403019505,BAGNAROLO,CR,31/12/1983 00:00:00
401005501,BAGNASCO D'ASTI,AT,31/12/1983 00:00:00
413066502,BAGNO,AQ,31/12/1983 00:00:00
414070505,BAGNOLI DEL TRIGNO,CB,02/03/1970 00:00:00
403013510,BAIEDO,CO,31/12/1983 00:00:00
401001503,BAIO DORA,TO,31/12/1983 00:00:00
401001504,BAIRO TORRE,TO,31/12/1983 00:00:00
404022652,BALBIDO,TN,31/12/1983 00:00:00
403013666,BALLABIO,CO,05/03/1992 00:00:00
403013511,BALLABIO INFERIORE,CO,31/12/1983 00:00:00
403013512,BALLABIO SUPERIORE,CO,31/12/1983 00:00:00
403012509,BALLARATE,VA,31/12/1983 00:00:00
404022653,BALLINO,TN,31/12/1983 00:00:00
403015506,BALSAMO,MI,31/12/1983 00:00:00
404022506,BANCO,TN,31/12/1983 00:00:00
401003619,BANNIO ANZINO,NO,29/04/1992 00:00:00
420090501,BANTINE,SS,31/12/1983 00:00:00
420092521,BARADILI,CA,15/07/1974 00:00:00
403015508,BARATE,MI,31/12/1983 00:00:00
420092522,BARATILI SAN PIETRO,CA,15/07/1974 00:00:00
401001505,BARATONIA,TO,31/12/1983 00:00:00
403015509,BARBAIANA,MI,31/12/1983 00:00:00
450501504,BARBANA D'ISTRIA,PL,15/09/1947 00:00:00
403019506,BARBISELLE,CR,31/12/1983 00:00:00
404022654,BARCESINO,TN,31/12/1983 00:00:00
411041004,BARCHI,PS,31/12/1998 00:00:00
411141004,BARCHI,PU,31/12/2016 00:00:00
406030527,BARCIS,UD,29/02/1968 00:00:00
403017506,BARCO,BS,31/12/1983 00:00:00
403013513,BARCONE,CO,31/12/1983 00:00:00
401001506,BARDASSANO,TO,31/12/1983 00:00:00
407009501,BARDINO NUOVO,SV,31/12/1983 00:00:00
407009502,BARDINO VECCHIO,SV,31/12/1983 00:00:00
403016504,BARESI,BG,31/12/1983 00:00:00
420092523,BARESSA,CA,15/07/1974 00:00:00
403015510,BARGANO,MI,31/12/1983 00:00:00
403015013,BARLASSINA,MI,29/06/2009 00:00:00
416072007,BARLETTA,BA,26/07/2009 00:00:00
403018502,BARONA,PV,31/12/1983 00:00:00
415063501,BARRA,NA,31/12/1983 00:00:00
403013514,BARTESATE,CO,31/12/1983 00:00:00
403012510,BARZA,VA,31/12/1983 00:00:00
403013667,BARZAGO,CO,05/03/1992 00:00:00
403019507,BARZANIGA,CR,31/12/1983 00:00:00
403013668,BARZANO',CO,05/03/1992 00:00:00
403013669,BARZIO,CO,05/03/1992 00:00:00
403016505,BARZIZZA,BG,31/12/1983 00:00:00
403012511,BARZOLA,VA,31/12/1983 00:00:00
404022507,BASELGA DI VEZZANO,TN,31/12/1983 00:00:00
403018503,BASELICA BOLOGNA,PV,31/12/1983 00:00:00
403018010,BASTIDA DE' DOSSI,PV,03/02/2014 00:00:00
406031505,BATTAGLIA DELLA BAINSIZZA,GO,15/09/1947 00:00:00
420092524,BAULADU,CA,15/07/1974 00:00:00
419083501,BAUSO,ME,31/12/1983 00:00:00
407010502,BAVARI,GE,31/12/1983 00:00:00
401003620,BAVENO,NO,29/04/1992 00:00:00
408037004,BAZZANO,BO,31/12/2013 00:00:00
401001507,BEAULARD,TO,31/12/1983 00:00:00
401003621,BEE,NO,29/04/1992 00:00:00
403017507,BEL PRATO,BS,31/12/1983 00:00:00
401003622,BELGIRATE,NO,29/04/1992 00:00:00
403013019,BELLAGIO,CO,03/02/2014 00:00:00
403013670,BELLANO,CO,05/03/1992 00:00:00
408040506,BELLARIA-IGEA MARINA,FO,15/04/1992 00:00:00
403013515,BELLEDO,CO,31/12/1983 00:00:00
415064501,BELLIZZI IRPINO,AV,31/12/1983 00:00:00
405029501,BELLOMBRA,RO,31/12/1983 00:00:00
405023502,BELLUNO VERONESE,VR,31/12/1983 00:00:00
403015017,BELLUSCO,MI,29/06/2009 00:00:00
414070506,BELMONTE DEL SANNIO,CB,02/03/1970 00:00:00
411044008,BELMONTE PICENO,AP,11/07/2009 00:00:00
403018504,BELVEDERE AL PO,PV,31/12/1983 00:00:00
418079508,BELVEDERE DI SPINELLO,CZ,05/03/1992 00:00:00
401002530,BENNA,VC,05/03/1992 00:00:00
450500503,BERDO SAN GIOVANNI,FU,15/09/1947 00:00:00
406031506,BERGOGNA,GO,15/09/1947 00:00:00
403013516,BERNAGA,CO,31/12/1983 00:00:00
403015018,BERNAREGGIO,MI,29/06/2009 00:00:00
403013517,BERNATE ROSALES,CO,31/12/1983 00:00:00
401004504,BERSEZIO,CN,31/12/1983 00:00:00
404022012,BERSONE,TN,31/12/2014 00:00:00
403015700,BERTONICO,MI,05/03/1992 00:00:00
403015021,BESANA IN BRIANZA,MI,29/06/2009 00:00:00
404022508,BESENO,TN,31/12/1983 00:00:00
450500504,BESERZIO DEL CARNARO,FU,15/09/1947 00:00:00
407008502,BESTAGNO,IM,31/12/1983 00:00:00
403015511,BESTAZZO,MI,31/12/1983 00:00:00
403019508,BETTENESCO,CR,31/12/1983 00:00:00
401003513,BEURA,NO,31/12/1983 00:00:00
401003623,BEURA-CARDEZZA,NO,29/04/1992 00:00:00
405023503,BEVILACQUA BOSCHI,VR,31/12/1983 00:00:00
404022014,BEZZECCA,TN,31/12/2009 00:00:00
404022509,BIACESA,TN,31/12/1983 00:00:00
403015023,BIASSONO,MI,29/06/2009 00:00:00
420092525,BIDONI',CA,15/07/1974 00:00:00
403012512,BIEGNO,VA,31/12/1983 00:00:00
401002531,BIELLA,VC,05/03/1992 00:00:00
403015512,BIENATE,MI,31/12/1983 00:00:00
401003514,BIENO,NO,31/12/1983 00:00:00
407009503,BIESTRO,SV,31/12/1983 00:00:00
406031507,BIGLIA,GO,15/09/1947 00:00:00
406031508,BIGLIANA,GO,31/12/1983 00:00:00
403013518,BIGLIO,CO,31/12/1983 00:00:00
403019509,BINANUOVA,CR,31/12/1983 00:00:00
403013519,BINDO,CO,31/12/1983 00:00:00
403015513,BINZAGO,MI,31/12/1983 00:00:00
401002532,BIOGLIO,VC,05/03/1992 00:00:00
403015514,BIRAGO,MI,31/12/1983 00:00:00
416072009,BISCEGLIE,BA,26/07/2009 00:00:00
403015515,BISENTRATE,MI,31/12/1983 00:00:00
401006501,BISIO,AL,31/12/1983 00:00:00
450500505,BISTERZA,FU,15/09/1947 00:00:00
403012513,BIZZOZERO,VA,31/12/1983 00:00:00
404022510,BLEGGIO,TN,31/12/1983 00:00:00
404022016,BLEGGIO INFERIORE,TN,31/12/2009 00:00:00
405029502,BOARA POLESINE,RO,31/12/1983 00:00:00
403012514,BOBBIATE,VA,31/12/1983 00:00:00
410054501,BOCCHIGNANO,PG,31/12/1983 00:00:00
408034501,BOCCOLO DEI TASSI,PR,31/12/1983 00:00:00
403012515,BODIO,VA,31/12/1983 00:00:00
403015701,BOFFALORA D'ADDA,MI,05/03/1992 00:00:00
403014502,BOFFETTO,SO,31/12/1983 00:00:00
407010503,BOGLIASCO PIEVE,GE,31/12/1983 00:00:00
450501505,BOGLIUNO,PL,15/09/1947 00:00:00
401003624,BOGNANCO,NO,29/04/1992 00:00:00
401003515,BOGNANCO DENTRO,NO,31/12/1983 00:00:00
401003516,BOGNANCO FUORI,NO,31/12/1983 00:00:00
403012516,BOGNO,VA,31/12/1983 00:00:00
404022019,BOLBENO,TN,31/12/2015 00:00:00
403015516,BOLDINASCO,MI,31/12/1983 00:00:00
404022511,BOLENTINA,TN,31/12/1983 00:00:00
401003517,BOLETO,NO,31/12/1983 00:00:00
403015517,BOLGIANO,MI,31/12/1983 00:00:00
403015518,BOLLADELLO,MI,31/12/1983 00:00:00
404022512,BOLLONE,TN,31/12/1983 00:00:00
407010504,BOLZANETO,GE,31/12/1983 00:00:00
420092526,BONARCADO,CA,15/07/1974 00:00:00
403016506,BONDIONE,BG,31/12/1983 00:00:00
404022020,BONDO,TN,31/12/2015 00:00:00
404022505,BONDO BREGUZZO,TN,31/12/1983 00:00:00
403016507,BONDO PETELLO,BG,31/12/1983 00:00:00
404022655,BONDONE-STORO,TN,31/12/1983 00:00:00
403015519,BONIROLA,MI,31/12/1983 00:00:00
404022656,BONO,TN,31/12/1983 00:00:00
401001508,BONZO,TO,31/12/1983 00:00:00
403016508,BORDOGNA,BG,31/12/1983 00:00:00
404022513,BORGHETTO,TN,31/12/1983 00:00:00
403015702,BORGHETTO LODIGIANO,MI,05/03/1992 00:00:00
407008503,BORGHETTO SAN NICOLO',IM,31/12/1983 00:00:00
407009504,BORGIO,SV,31/12/1983 00:00:00
408037501,BORGO PANIGALE,BO,31/12/1983 00:00:00
408033501,BORGO SAN BERNARDINO,PC,31/12/1983 00:00:00
403015703,BORGO SAN GIOVANNI,MI,05/03/1992 00:00:00
407008504,BORGO SANT'AGATA,IM,31/12/1983 00:00:00
403020005,BORGOFORTE,MN,03/02/2014 00:00:00
403017508,BORGONATO,BS,31/12/1983 00:00:00
401003518,BORGONE D'OSSOLA,NO,31/12/1983 00:00:00
403016509,BORGOUNITO,BG,31/12/1983 00:00:00
406031509,BORIANO,GO,15/09/1947 00:00:00
403015520,BORNAGO,MI,31/12/1983 00:00:00
401002504,BORNATE,VC,31/12/1983 00:00:00
403017509,BORNATO,BS,31/12/1983 00:00:00
420092527,BORONEDDU,CA,15/07/1974 00:00:00
401002533,BORRIANA,VC,05/03/1992 00:00:00
403015521,BORSANO,MI,31/12/1983 00:00:00
